# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	5794
#@/user_id	32c9a853-ebe4-49e9-ac71-f12fd2996abe
a 	吖	c=2 d=0.00608616 t=5794
deng lu 	登錄	c=5 d=1.80819e-07 t=5794
di 	低	c=2 d=1.88937e-08 t=5794
di 	地	c=2 d=0.0126544 t=5794
di 	弟	c=1 d=3.61775e-10 t=5794
di 	牴	c=1 d=4.62132e-08 t=5794
di 	笛	c=1 d=3.24818e-07 t=5794
di 	第	c=4 d=0.000403635 t=5794
di er 	第二	c=0 d=4.69276e-13 t=5794
di er tian 	第二天	c=1 d=1.12865e-12 t=5794
di er zhou 	第二周	c=1 d=4.71628e-12 t=5794
di ren jie 	狄仁傑	c=1 d=1.05982e-07 t=5794
di san 	第三	c=1 d=0.000129737 t=5794
di si 	第四	c=0 d=1.35032e-05 t=5794
di si guan 	第四關	c=1 d=0.000135709 t=5794
di si ke 	迪斯科	c=1 d=0.000401622 t=5794
di yi 	第一	c=1 d=1.4306e-07 t=5794
di yi ci 	第一次	c=1 d=2.96963e-11 t=5794
di yi ge 	第一個	c=4 d=0.00269608 t=5794
di yi guan 	第一關	c=1 d=1.68696e-05 t=5794
di yi tian 	第一天	c=1 d=0.0395575 t=5794
di zhi 	地址	c=3 d=0.00297867 t=5794
dian 	店	c=3 d=3.59953e-07 t=5794
dian 	滇	c=4 d=0.00333746 t=5794
dian 	電	c=1 d=2.97013e-13 t=5794
dian 	點	c=12 d=0.00218661 t=5794
dian chi 	電池	c=2 d=7.82077e-11 t=5794
dian feng 	巔峯	c=1 d=3.05954e-09 t=5794
dian ji 	點擊	c=1 d=1.54229e-09 t=5794
dian jia 	店家	c=2 d=0.874305 t=5794
dian jia 	電價	c=1 d=1.52694e-09 t=5794
dian kai 	點開	c=1 d=1.53459e-09 t=5794
dian nao 	電腦	c=2 d=1.54949e-05 t=5794
dian ying 	電影	c=2 d=0.000149306 t=5794
dian zi 	電子	c=1 d=0.000889368 t=5794
diao le 	掉了	c=1 d=3.94957e-13 t=5794
die 	跌	c=1 d=4.30889e-08 t=5794
die dai 	迭代	c=4 d=0.127458 t=5794
die zhong die 	碟中碟	c=1 d=0.0025415 t=5794
ding 	定	c=1 d=6.17606e-08 t=5794
ding 	訂	c=1 d=6.63876e-05 t=5794
ding ding ding ding 	頂頂頂頂	c=0 d=1.63315e-07 t=5794
ding qi 	定期	c=1 d=0.213312 t=5794
ding yi 	定義	c=1 d=0.00324708 t=5794
diu qi 	丟棄	c=3 d=0.143837 t=5794
dong 	動	c=3 d=8.0687e-05 t=5794
dong 	懂	c=1 d=5.88805e-05 t=5794
dong 	棟	c=5 d=0.00122757 t=5794
dong 	董	c=1 d=0.000225994 t=5794
dong de 	懂得	c=1 d=0.10383 t=5794
dong hang 	東航	c=1 d=0.00082099 t=5794
dong man 	動漫	c=1 d=0.00431784 t=5794
dong tai 	動態	c=2 d=0.117068 t=5794
dong wu 	動物	c=1 d=3.15218e-07 t=5794
dong xi 	東西	c=7 d=0.518161 t=5794
dou 	都	c=34 d=0.325649 t=5794
dou shi 	都是	c=1 d=1.32403e-08 t=5794
dou yi jing 	都已經	c=1 d=3.73694e-09 t=5794
dou zai 	都在	c=2 d=1.66389e-09 t=5794
du 	度	c=1 d=1.60884e-06 t=5794
du 	杜	c=1 d=0.0124007 t=5794
du 	讀	c=1 d=9.85615e-07 t=5794
du jia 	獨家	c=1 d=2.8527e-09 t=5794
du liang 	度量	c=2 d=0.172183 t=5794
du shu 	讀書	c=3 d=2.18101e-06 t=5794
du shu hui 	讀書會	c=3 d=1.53539e-06 t=5794
duan 	短	c=2 d=0.169309 t=5794
duan 	端	c=1 d=4.54154e-09 t=5794
duan duan de 	短短的	c=0 d=1.63315e-07 t=5794
duan duan de ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding duan duan de ding ding ding ding 	短短的頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂短短的頂頂頂頂	c=1 d=1.64134e-06 t=5794
dui 	對	c=8 d=0.214797 t=5794
dui bu dui 	對不對	c=1 d=2.3477e-11 t=5794
dui le 	對了	c=2 d=0.000639387 t=5794
dui mian 	對面	c=1 d=2.37743e-12 t=5794
dui ying 	對應	c=1 d=3.59848e-06 t=5794
dui yu 	對於	c=2 d=7.14319e-06 t=5794
dun 	燉	c=1 d=0.000194515 t=5794
duo 	多	c=9 d=0.000621485 t=5794
duo chi dian 	多吃點	c=1 d=2.87491e-12 t=5794
duo gong 	奪宮	c=1 d=0.000808767 t=5794
duo lai 	多來	c=1 d=2.11844e-08 t=5794
duo qing 	多情	c=1 d=0.000228266 t=5794
duo shao 	多少	c=2 d=0.0298969 t=5794
duo wan 	多玩	c=1 d=0.000293099 t=5794
e 	俄	c=1 d=0.000102566 t=5794
e 	額	c=14 d=0.00286661 t=5794
e 	餓	c=2 d=0.00164767 t=5794
e guo tou 	額過頭	c=1 d=2.62613e-06 t=5794
e kou 	惡口	c=0 d=1.03865e-06 t=5794
e lie 	惡劣	c=2 d=3.86881e-10 t=5794
e mo 	惡魔	c=0 d=3.44189e-13 t=5794
e sha 	扼殺	c=1 d=0.0140519 t=5794
e xin 	噁心	c=2 d=4.46719e-05 t=5794
ei 	誒	c=4 d=3.02006e-06 t=5794
en 	恩	c=12 d=0.000468712 t=5794
er 	兒	c=1 d=5.16044e-12 t=5794
er 	而	c=1 d=0.0241131 t=5794
er ji 	耳機	c=1 d=0.00946646 t=5794
er jin zhi 	二進制	c=1 d=4.17146e-09 t=5794
er qie 	而且	c=5 d=3.62617e-05 t=5794
fa 	發	c=3 d=0.000317213 t=5794
fa bu 	發佈	c=2 d=0.0764791 t=5794
fa guo lai 	發過來	c=1 d=1.14828e-09 t=5794
fa lai 	發來	c=1 d=0.000578542 t=5794
fa le 	發了	c=1 d=0.00191125 t=5794
fa ni 	發你	c=1 d=4.70411e-11 t=5794
fa sheng 	發生	c=0 d=1.13666e-08 t=5794
fa shi 	法師	c=1 d=4.60861e-05 t=5794
fa xian 	發現	c=1 d=1.48873e-05 t=5794
fa zhan 	發展	c=2 d=0.00700446 t=5794
fan 	反	c=1 d=0.00027603 t=5794
fan 	煩	c=1 d=0.000490542 t=5794
fan 	翻	c=1 d=1.07047e-07 t=5794
fan 	飯	c=1 d=6.34988e-11 t=5794
fan kui 	反饋	c=4 d=0.195603 t=5794
fan yi 	翻譯	c=1 d=3.38074e-07 t=5794
fan ying 	反應	c=1 d=3.3891e-12 t=5794
fan zheng 	反正	c=5 d=0.000695682 t=5794
